country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Saudi Arabia,111000000,131000000,141000000,154000000,163000000,192000000,241000000,304000000,384000000,430000000,359000000,437000000,468000000,424000000,488000000,510000000,506000000,340000000,240000000,219000000,172000000,253000000,214000000,273000000,271000000,343000000,428000000,442000000,429000000,432000000,431000000,437000000,432000000,445000000,409000000,439000000,428000000,390000000,460000000,493000000,517000000,509000000,489000000,510000000,459000000,463000000,523000000,549000000,538000000,544000000,568000000,587000000,559000000,577000000,557000000
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1530000,4910000,7650000,7280000,5790000,6020000,6290000,6830000
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98500,98500,98500,247000,443000,591000,3100000,8850000,10300000,11600000,12900000,14400000,14500000,17500000,23800000,22600000,23400000,22800000,14300000,5090000,5810000,5890000,5370000,5120000,4660000,4930000,5040000
Syria,,,,1050000,2640000,4230000,5280000,5840000,5530000,6420000,9560000,10000000,9110000,8910000,8320000,7890000,8170000,7720000,8020000,8090000,7930000,9980000,11500000,13400000,16900000,20200000,23500000,25600000,28100000,28000000,29600000,29200000,28700000,28600000,28800000,28100000,29900000,32700000,31600000,23500000,21700000,20300000,19500000,19600000,19300000,18500000,16900000,8080000,2690000,1460000,1200000,1100000,1080000,1050000,1020000
Thailand,,,,,,,,,,,,,,,,,67000,241000,585000,1060000,2010000,1970000,1810000,2080000,2050000,2440000,2820000,3300000,3390000,3420000,3320000,3780000,4290000,4460000,4860000,7130000,7780000,8550000,9980000,9770000,11900000,13000000,13700000,14500000,15000000,15200000,15800000,17300000,17100000,16900000,17600000,18100000,17600000,17100000,17000000
Trinidad and Tobago,6670000,7560000,8850000,9490000,7780000,6930000,6390000,7000000,8220000,9260000,10700000,10500000,11300000,11400000,10600000,10500000,9360000,8770000,7920000,8440000,8640000,8300000,7610000,7440000,7340000,7370000,7240000,6950000,6450000,6760000,6740000,6680000,6440000,6400000,6640000,6570000,6330000,7280000,7670000,7120000,8110000,8180000,7190000,6890000,6800000,6230000,5880000,5180000,5110000,5050000,4820000,4330000,4380000,3900000,3660000
Tunisia,,771000,2240000,3190000,3710000,4150000,4110000,3980000,3880000,4140000,4610000,3710000,4300000,4940000,5540000,5630000,5410000,5150000,5530000,5480000,5410000,5250000,5010000,4940000,4960000,4740000,5440000,5450000,4940000,4560000,4440000,4410000,4160000,4080000,4200000,3850000,3540000,3700000,3390000,3500000,3640000,3510000,4860000,4460000,4230000,3880000,3560000,3800000,3510000,3260000,2930000,2760000,2230000,2300000,2300000
Turkmenistan,,,,,,,,,,,,,,,,,,,,,6780000,6560000,6470000,5720000,5750000,5700000,5400000,5200000,4380000,4190000,4070000,4360000,5370000,6370000,7060000,7280000,7750000,8210000,8710000,9220000,9730000,9990000,10300000,10600000,10900000,11100000,11500000,12000000,12500000,12900000,13200000,13200000,13100000,12600000,12500000
United Arab Emirates,13700000,17400000,18500000,24100000,30400000,37800000,51300000,58400000,74200000,81300000,80600000,94000000,96800000,88600000,88700000,83800000,74100000,64400000,60700000,58100000,56000000,64600000,68200000,72000000,85100000,93200000,107000000,118000000,114000000,115000000,114000000,117000000,117000000,122000000,112000000,122000000,118000000,109000000,126000000,131000000,137000000,146000000,144000000,145000000,129000000,135000000,150000000,156000000,163000000,163000000,176000000,182000000,176000000,177000000,180000000
United Kingdom,84000,78000,89000,84000,85000,156000,212000,333000,372000,410000,1570000,12200000,38300000,54000000,77900000,80500000,89500000,103000000,115000000,126000000,128000000,127000000,123000000,114000000,91700000,91600000,91300000,94300000,100000000,127000000,130000000,130000000,128000000,133000000,137000000,126000000,117000000,116000000,106000000,95400000,84700000,76600000,76600000,71800000,68200000,63000000,52000000,44600000,40600000,39900000,45300000,47400000,46600000,50900000,51800000
United States,428000000,455000000,484000000,503000000,511000000,533000000,526000000,528000000,515000000,491000000,470000000,458000000,463000000,484000000,477000000,480000000,479000000,481000000,483000000,496000000,499000000,482000000,467000000,459000000,429000000,417000000,423000000,413000000,397000000,387000000,384000000,382000000,380000000,368000000,353000000,348000000,345000000,342000000,333000000,325000000,309000000,305000000,305000000,302000000,323000000,333000000,346000000,395000000,448000000,524000000,567000000,542000000,574000000,672000000,747000000
Uzbekistan,,,,,,,,,,,,,,,,,,,,,2310000,2530000,2670000,2440000,2700000,2800000,2800000,3300000,4000000,5520000,7590000,7620000,7890000,8180000,8100000,7500000,7180000,7200000,7130000,6580000,5450000,5410000,4930000,4780000,4460000,3650000,3590000,3170000,2900000,2800000,2710000,2640000,2760000,2890000,2800000
Venezuela,184000000,179000000,188000000,192000000,191000000,197000000,190000000,174000000,181000000,161000000,127000000,125000000,121000000,117000000,127000000,117000000,114000000,103000000,97300000,97600000,91500000,98900000,100000000,105000000,106000000,118000000,131000000,132000000,136000000,144000000,155000000,165000000,172000000,178000000,159000000,160000000,163000000,153000000,147000000,170000000,169000000,171000000,166000000,166000000,156000000,146000000,142000000,139000000,138000000,139000000,135000000,121000000,108000000,75600000,46600000
Vietnam,,,,,,,,,,,,,,,,,,,,,,,280000,690000,1490000,2700000,3960000,5490000,6300000,7100000,7620000,8800000,10100000,12500000,15200000,16500000,17100000,17200000,18100000,20400000,18900000,17100000,16200000,15200000,16600000,15300000,15400000,17000000,16900000,15900000,17200000,15500000,13900000,12400000,11400000
Yemen,,,,,,,,,,,,,,,,,,,,,,478000,1240000,8150000,8520000,8710000,9420000,8730000,9900000,16400000,16700000,16900000,17700000,18000000,19200000,20900000,21400000,21600000,21200000,20000000,19800000,18100000,15900000,14800000,14400000,14300000,10200000,8140000,9030000,6900000,2610000,1610000,2950000,3500000,4220000
